"FullID"	"Site"	"Sector"	"SampleDate"	"IDSample"	"Succession"	"SiteName"	"Canton"	"Municipiality"	"Altitude"	"Habitat"	"X_WGS84"	"Y_WGS84"	"SiteSectorCentroidsX"	"SiteSectorCentroidsY"	"Light"	"Temperature"	"Continentality"	"Humidity"	"Soil.reaction"	"Nitrogen"	"Salt"	"CanopyCover"	"Moss_g"	"Distance"	"MossComposition"	"mb.moss.prok"	"mb.moss.euk"	"mb.moss"
"CB1N01M"	"CB"	"1"	"20.08.2018"	"C1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	37.6044375	0.873800000000001	-25543.3459216966	1.78878518124156	-0.284761625758856	-0.120706133225909	-0.0750573815864894
"CB1N02M"	"CB"	"1"	"20.08.2018"	"P0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	37.6044375	0.812100000000001	-25543.3459216964	1.78878518124156	-0.204664180995558	-0.139162735451217	-0.120014105091727
"CB2N01M"	"CB"	"2"	"20.08.2018"	"O0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	36.053	0.564600000000001	-25548.2019780105	2.35436201539652	-0.290494344610163	0.109456661952477	0.086621217882074
"CB2N02M"	"CB"	"2"	"20.08.2018"	"J1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	36.053	0.730700000000001	-25548.2019780105	2.35436201539652	-0.358850835629807	0.23757853459465	0.157415944722136
"CB3N01M"	"CB"	"3"	"20.08.2018"	"U0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	34.150875	0.571500000000001	-25558.5998223666	2.35436200876953	-0.231023223202597	0.0570653956323434	0.0556946855573792
"CB3N02M"	"CB"	"3"	"20.08.2018"	"B0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	34.150875	0.822200000000001	-25558.5998223666	2.35436200876953	-0.235721353130668	0.097934873602706	0.0644997385955805
"CB4N01M"	"CB"	"4"	"20.08.2018"	"W0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	33.3495714285714	0.561600000000001	-25569.0040847649	2.74751030871883	-0.460984446645501	-0.0746119518951099	-0.144704857195185
"CB4N02M"	"CB"	"4"	"20.08.2018"	"M1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	605	"Fen"	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152	33.3495714285714	0.658900000000001	-25569.0040847649	2.74751030871883	-0.88675973248592	-0.17842256721117	-0.30013121560628
"LE1N01M"	"LE"	"1"	"24.08.2018"	"K1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	1022	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775	6.92727272727273	3.29268292682927	4.68	7.21818181818182	3.3	2	0.0714285714285714	82.8873125	0.5732	52541.8026186576	-0.774091567329064	-0.0704726164599394	-0.147974259312038	-0.0960741709116301
"LE1N02M"	"LE"	"1"	"24.08.2018"	"E1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	1022	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775	6.92727272727273	3.29268292682927	4.68	7.21818181818182	3.3	2	0.0714285714285714	82.8873125	0.719000000000001	52541.8026186576	-0.774091567329064	-0.00559384052992842	-0.699470647630321	-0.406257588963285
"LE2N01M"	"LE"	"2"	"24.08.2018"	"I1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	1022	"Raised peat bog"	7.11572133320043	47.2625172509751	575557.430114069	234660.130794412	6.92727272727273	3.29268292682927	4.68	7.21818181818182	3.3	2	0.0714285714285714	74.264	0.956400000000001	52549.1981425931	-0.993704862032679	0.00522960820099978	0.0786473803724889	0.125019493922926
"LE2N02M"	"LE"	"2"	"24.08.2018"	"E0"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	1022	"Raised peat bog"	7.11572133320043	47.2625172509751	575557.430114069	234660.130794412	6.92727272727273	3.29268292682927	4.68	7.21818181818182	3.3	2	0.0714285714285714	74.264	0.7669	52549.1981425931	-0.993704862032679	-0.0350445447234365	0.0766475948151386	0.144008460365366
