"Site"	"Light"	"Temperature"	"Continentality"	"Humidity"	"Soil reaction"	"Nitrogen"	"Salt"
"CB"	7.22448979591837	4.17142857142857	4.09523809523809	7.87755102040816	4.65	3.18518518518519	0.151515151515152
"LE"	6.92727272727273	3.29268292682927	4.68	7.21818181818182	3.3	2	0.0714285714285714
"LM"	7.84	3.78947368421053	4.42105263157895	8.36	2.39130434782609	1.77777777777778	0.0526315789473684
"LT"	8.26666666666667	3.47058823529412	4.5625	8	1.625	1.42857142857143	0
"LV"	6.94117647058824	3.25	4.625	7.47058823529412	2.125	1.7	0.1
