"FullID"	"Site"	"Sector"	"SampleDate"	"IDSample"	"Succession"	"SiteName"	"Canton"	"Municipiality"	"Altitude"	"Habitat"	"X_WGS84"	"Y_WGS84"	"SiteSectorCentroidsX"	"SiteSectorCentroidsY"	"Light"	"Temperature"	"Continentality"	"Humidity"	"Soil.reaction"	"Nitrogen"	"Salt"	"CanopyCover"	"Moss_g"	"Distance"	"MossComposition"	"mb.moss.prok"	"mb.moss.euk"	"mb.moss"
"CB1N01M"	"CB"	"1"	"20.08.2018"	"C1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.06676027475753	-0.0202213104623438	-0.597913868467468	-1.4380150220541	-1.19808249923782	-0.572891805523846	-0.251365553199728
"CB1N02M"	"CB"	"1"	"20.08.2018"	"P0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.06676027475753	-0.368971794187494	-0.597913868467468	-1.4380150220541	-0.870708605624097	-1.17868416754308	-0.453359809312971
"CB2N01M"	"CB"	"2"	"20.08.2018"	"O0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.15411183294362	-1.76793037963279	-0.598027538126292	-1.89268003737248	-1.21359764549072	-0.493563351876096	0.209197403737973
"CB2N02M"	"CB"	"2"	"20.08.2018"	"J1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.15411183294362	-0.829073728956169	-0.598027538126292	-1.89268003737248	-1.39859983589277	-0.139094557885331	0.411144959545942
"CB3N01M"	"CB"	"3"	"20.08.2018"	"U0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.2612083692944	-1.72892910997795	-0.598270928924105	-1.89268010940409	-0.840350637175597	-0.273821640830004	0.223374606631039
"CB3N02M"	"CB"	"3"	"20.08.2018"	"B0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.2612083692944	-0.311882979185484	-0.598270928924105	-1.89268010940409	-0.9406398432545	-0.27410508088171	0.321284393461255
"CB4N01M"	"CB"	"4"	"20.08.2018"	"W0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.30632466662791	-1.78488745339576	-0.59851446995425	-2.2087410112725	-1.91344491685345	-1.05546132049369	-0.612430547525809
"CB4N02M"	"CB"	"4"	"20.08.2018"	"M1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.30632466662791	-1.23491302768333	-0.59851446995425	-2.2087410112725	-3.8084731448731	-0.979873303544223	-0.644822874813176
"LE1N01M"	"LE"	"1"	"24.08.2018"	"K1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	1.48282982500215	-1.71932010151227	1.22988869806956	0.622295481996154	-0.290261894115861	-0.562689457539701	-0.55551287240468
"LE1N02M"	"LE"	"1"	"24.08.2018"	"E1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	1.48282982500215	-0.895206316631765	1.22988869806956	0.622295481996154	-0.0271900348963061	-1.05893730414665	-1.00662007066103
"LE2N01M"	"LE"	"2"	"24.08.2018"	"I1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575557.430114069	234660.130794412	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.997306055207636	0.44666345381152	1.23006181111196	0.798850802102019	0.036111299962048	0.639178375004732	0.552054125407589
"LE2N02M"	"LE"	"2"	"24.08.2018"	"E0"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575557.430114069	234660.130794412	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.997306055207636	-0.624458372216297	1.23006181111196	0.798850802102019	-0.126992879870625	0.593373798193053	0.509260819441763
